,Player,Year,Club,Position,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
84,Altimont Butler,1996,SJ,M,14,4,411,2,0,7,4,0,0/0,1,1,0.44,28.6
85,Nicola Caricola,1996,MET,D,26,26,2193,2,0,17,8,1,0/0,1,1,0.08,11.8
86,Uche Okafor,1996,KC,D,30,30,2593,2,0,8,6,0,0/0,1,1,0.07,25.0
87,Steve Pittman,1996,TB,D,26,26,2252,1,6,23,7,1,0/0,1,0,0.04,4.3
88,Richie Williams,1996,DC,M,30,30,2570,1,5,29,8,0,0/0,0,1,0.04,3.4
89,Jeff Agoos,1996,DC,D,32,32,2805,1,5,19,7,0,0/0,0,1,0.03,5.3
90,Kris Kelderman,1996,DC,M,18,8,817,1,3,14,6,0,0/0,1,0,0.11,7.1
91,Peter Woodring,1996,NE,D,21,20,1622,1,3,25,4,0,0/0,0,1,0.06,4.0
92,Jorge Rodas,1996,SJ,M,29,17,1773,1,3,58,25,0,0/0,1,0,0.05,1.7
93,Mario Gori,1996,DC,D,25,22,1925,1,3,10,7,0,0/0,1,0,0.05,10.0
94,John Maessner,1996,DC,M-D,20,5,713,1,2,12,5,0,0/0,0,1,0.13,8.3
95,Frankie Hejduk,1996,TB,D,9,8,727,1,2,11,7,1,0/0,0,1,0.12,9.1
96,Todd Yeagley,1996,CLB,M,22,14,1251,1,2,9,3,0,0/0,0,1,0.07,11.1
97,Ricardo Iribarren,1996,CLB,D,16,15,1300,1,2,5,3,0,0/0,1,0,0.07,20.0
98,Mark Santel,1996,DAL,M,30,28,2613,1,2,13,8,0,0/0,0,1,0.03,7.7
99,Ian Hennessey,1996,MET,M,8,4,311,1,1,3,1,0,0/0,0,1,0.29,33.3
100,Henry Gutierrez,1996,SJ,M,7,4,360,1,1,6,3,0,0/0,1,0,0.25,16.7
101,Ramiro Corrales,1996,SJ,M,11,5,461,1,1,4,3,0,0/0,1,0,0.2,25.0
102,Chris Unger,1996,MET,M,16,12,1029,1,1,8,2,0,0/0,0,1,0.09,12.5
103,Mike Burns,1996,NE,M,17,14,1294,1,1,11,5,0,0/0,1,0,0.07,9.1
104,Chris Armas,1996,LA,M,22,20,1702,1,1,21,9,0,0/0,1,0,0.05,4.8
105,Alexi Lalas,1996,NE,D,25,25,2218,1,1,17,7,0,0/0,1,0,0.04,5.9
106,Mike Clark,1996,CLB,D,27,27,2329,1,1,12,3,0,0/0,0,1,0.04,8.3
107,Rhett Harty,1996,MET,D,31,31,2662,1,1,10,3,0,0/0,1,0,0.03,10.0
108,Peter Vermes,1996,MET,D,30,30,2700,1,1,40,16,1,0/1,1,0,0.03,2.5
109,Yari Allnutt,1996,KC,F,1,0,45,1,0,1,1,0,0/0,0,1,2.0,100.0
110,Jesse Marsch,1996,DC,M,4,0,92,1,0,1,1,0,0/0,1,0,0.98,100.0
111,Ante Razov,1996,LA,F,3,1,172,1,0,10,4,0,0/0,0,1,0.52,10.0
112,Paul Holocher,1996,SJ,M,4,2,205,1,0,2,2,0,0/0,1,0,0.44,50.0
113,Dante Washington,1996,DAL,F,9,2,317,1,0,11,5,1,0/0,0,1,0.28,9.1
114,John Garvey,1996,LA,F,13,3,517,1,0,10,5,1,0/0,1,0,0.17,10.0
115,Sean Henderson,1996,COL,M,9,9,780,1,0,7,3,0,0/0,1,0,0.12,14.3
116,Brad Wilson,1996,LA,D,22,14,969,1,0,8,2,0,0/0,0,1,0.09,12.5
117,Chad Ashton,1996,DAL,M,23,10,974,1,0,23,8,0,0/0,0,1,0.09,4.3
118,Ted Chronopoulos,1996,NE,D,14,11,1000,1,0,8,4,0,0/0,0,1,0.09,12.5
119,Mark Watson,1996,NE,D,18,18,1563,1,0,2,1,0,0/0,1,0,0.06,50.0
120,Brian Bliss,1996,CLB,D,19,19,1566,1,0,12,4,1,0/0,0,1,0.06,8.3
121,Zak Ibsen,1996,DAL,M,22,18,1601,1,0,8,6,0,0/0,1,0,0.06,12.5
122,Robin Fraser,1996,LA,D,27,27,2390,1,0,6,1,0,0/0,1,0,0.04,16.7
123,Richard Farrer,1996,DAL,D,31,31,2758,1,0,3,2,1,0/0,0,1,0.03,33.3
124,Matt Kmosko,1996,COL,D,31,31,2788,1,0,6,4,0,0/0,1,0,0.03,16.7
125,Tim Martin,1996,SJ,D,32,32,2871,1,0,10,3,0,0/0,1,0,0.03,10.0
126,John DeBrito,1996,NE,D,21,18,1537,0,4,18,7,0,0/0,0,0,0.0,0.0
127,Diego Gutierrez,1996,KC,D,28,24,2068,0,4,17,3,0,0/0,0,0,0.0,0.0
128,Paul Wright,1996,KC,F,17,7,690,0,3,7,3,0,0/0,0,0,0.0,0.0
129,Ruben Hernandez,1996,MET,M,10,9,836,0,3,34,16,0,0/0,0,0,0.0,0.0
130,Eddie Lewis,1996,SJ,M,25,13,1253,0,3,14,7,0,0/0,0,0,0.0,0.0
131,Evans Wise,1996,TB,M,23,17,1512,0,3,22,7,0,0/0,0,0,0.0,0.0
132,Sean Bowers,1996,KC,D,31,31,2769,0,3,12,4,0,0/0,0,0,0.0,0.0
133,Felipe Rodriguez,1996,COL,M,10,5,472,0,2,1,1,0,0/0,0,0,0.0,0.0
134,Eric Eichmann,1996,KC,F,15,4,481,0,2,8,6,0,0/0,0,0,0.0,0.0
135,Manny Lagos,1996,MET,M,6,6,483,0,2,6,4,0,0/0,0,0,0.0,0.0
136,Victor Mella,1996,SJ,M,8,6,583,0,2,10,3,0,0/0,0,0,0.0,0.0
137,Kevin Wylie,1996,NE,F,22,22,1839,0,2,9,2,0,0/0,0,0,0.0,0.0
138,Michael Emenalo,1996,SJ,D,29,28,2534,0,2,14,8,0,0/0,0,0,0.0,0.0
139,Obi Monome,1996,CLB,M,1,0,26,0,1,0,0,0,0/0,0,0,0.0,0.0
140,Andrew Shue,1996,LA,F,5,0,96,0,1,0,0,0,0/0,0,0,0.0,0.0
141,Todd Miller,1996,CLB,M,3,2,157,0,1,1,1,0,0/0,0,0,0.0,0.0
142,Petter Villegas,1996,MET,M,3,2,165,0,1,0,0,0,0/0,0,0,0.0,0.0
143,Nidal Baba,1996,MET,M,3,1,190,0,1,5,2,0,0/0,0,0,0.0,0.0
144,Raimo De Vries,1996,COL,F,4,4,355,0,1,5,2,0,0/0,0,0,0.0,0.0
145,Brian Kamler,1996,DC,M,12,3,470,0,1,4,2,0,0/0,0,0,0.0,0.0
146,Edmundo Rodriguez,1996,MET,M,11,5,473,0,1,10,4,0,0/0,0,0,0.0,0.0
147,Curt Onalfo,1996,LA,D,13,7,688,0,1,5,1,0,0/0,0,0,0.0,0.0
148,Adam Frye,1996,TB,D,15,9,725,0,1,6,4,0,0/0,0,0,0.0,0.0
149,Kevin Koetters,1996,KC,M,15,6,743,0,1,4,2,0,0/0,0,0,0.0,0.0
150,Rob Smith,1996,CLB,M,9,9,765,0,1,6,2,0,0/0,0,0,0.0,0.0
151,Damian Silvera,1996,MET,M,15,8,804,0,1,5,2,0,0/0,0,0,0.0,0.0
152,Matt McKeon,1996,KC,D,12,9,823,0,1,10,9,0,0/0,0,0,0.0,0.0
153,David Vaudreuil,1996,DC,D,14,13,1147,0,1,4,3,0,0/0,0,0,0.0,0.0
154,Dave Salzwedel,1996,SJ,GK,14,12,1168,0,1,0,0,0,0/0,0,0,0.0,0.0
155,Bo Oshoniyi,1996,CLB,GK,13,13,1170,0,1,0,0,0,0/0,0,0,0.0,0.0
156,Jim St. Andre,1996,NE,GK,15,14,1346,0,1,0,0,0,0/0,0,0,0.0,0.0
157,Manny Motajo,1996,LA,D,20,16,1486,0,1,5,1,0,0/0,0,0,0.0,0.0
158,Scott Cannon,1996,COL,D,21,16,1582,0,1,10,3,0,0/0,0,0,0.0,0.0
159,Samuel Ekeme,1996,KC,D,23,19,1693,0,1,20,9,0,0/0,0,0,0.0,0.0
160,Garth Lagerwey,1996,KC,GK,23,22,1959,0,1,0,0,0,0/0,0,0,0.0,0.0
161,Iain Fraser,1996,NE,D,23,23,2070,0,1,2,0,0,0/0,0,0,0.0,0.0
162,Jorge Campos,1996,LA,GK,24,24,2160,0,1,2,1,0,0/0,0,0,0.0,0.0
163,Dan Calichman,1996,LA,D,28,28,2372,0,1,8,2,0,0/0,0,0,0.0,0.0
164,Denis Hamlett,1996,COL,D,31,31,2790,0,1,3,1,0,0/0,0,0,0.0,0.0
165,Mile Miovac,1996,DC,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
166,Rivers Guthrie,1996,TB,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
167,Ricci Greenwood,1996,CLB,M,1,0,7,0,0,0,0,0,0/0,0,0,0.0,0.0
168,Stan Lembryk,1996,MET,M,1,0,9,0,0,0,0,0,0/0,0,0,0.0,0.0
169,Omid Namazi,1996,MET,M,1,0,12,0,0,0,0,0,0/0,0,0,0.0,0.0
170,Bojan Vuckovic,1996,NE,F,1,0,14,0,0,0,0,0,0/0,0,0,0.0,0.0
171,Brent Longenecker,1996,MET,M,2,0,19,0,0,0,0,0,0/0,0,0,0.0,0.0
172,Martin Munnelly,1996,MET,M,1,0,23,0,0,0,0,0,0/0,0,0,0.0,0.0
173,Travis Rinker,1996,MET,M,3,0,31,0,0,0,0,0,0/0,0,0,0.0,0.0
