,Player,Year,Club,Position,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
4889,Marco Velez,2009,TOR,D,15,8,780,0,0,3,2,0,0/0,0,0,0.0,0.0
4890,Blake Wagner,2009,DAL,D-M,15,8,789,0,0,5,0,0,0/0,0,0,0.0,0.0
4891,Kyle Davies,2009,DAL,D,11,10,795,0,0,2,2,0,0/0,0,0,0.0,0.0
4892,Kevin Harmse,2009,CHV,M,12,8,805,0,0,8,4,0,0/0,0,0,0.0,0.0
4893,Jon Conway,2009,CHV,GK,9,9,810,0,0,0,0,0,0/0,0,0,0.0,0.0
4894,Andrew Jacobson,2009,DC,M,17,8,845,0,0,8,1,0,0/0,0,0,0.0,0.0
4895,Carlos Mendes,2009,NY,D,12,11,868,0,0,0,0,0,0/0,0,0,0.0,0.0
4896,Jonathan Leathers,2009,KC,D,11,10,871,0,0,4,1,0,0/0,0,0,0.0,0.0
4897,Daniel Torres,2009,DAL,D,15,8,886,0,0,1,0,0,0/0,0,0,0.0,0.0
4898,Tyson Wahl,2009,SEA,D,12,9,893,0,0,1,0,0,0/0,0,0,0.0,0.0
4899,Andy Gruenebaum,2009,CLB,GK,10,10,900,0,0,0,0,0,0/0,0,0,0.0,0.0
4900,Wade Barrett,2009,HOU,D,12,11,940,0,0,1,0,0,0/0,0,0,0.0,0.0
4901,Leo Gonzalez,2009,SEA,D,11,11,979,0,0,0,0,0,0/0,0,0,0.0,0.0
4902,Preston Burpo,2009,COL,GK,11,11,990,0,0,0,0,0,0/0,0,0,0.0,0.0
4903,Danny Cepero,2009,NY,GK,13,13,1088,0,0,0,0,0,0/0,0,0,0.0,0.0
4904,Andrew Boyens,2009,NY,D,14,14,1114,0,0,4,2,0,0/0,0,0,0.0,0.0
4905,Pat Phelan,2009,NE,M-D,21,13,1136,0,0,7,2,0,0/0,0,0,0.0,0.0
4906,Luke Sassano,2009,NY,D,17,12,1179,0,0,6,0,0,0/0,0,0,0.0,0.0
4907,Alfredo Pacheco,2009,NY,D,14,14,1180,0,0,10,2,0,0/0,0,0,0.0,0.0
4908,Dario Sala,2009,DAL,GK,14,14,1195,0,0,2,1,0,0/0,0,0,0.0,0.0
4909,Simon Elliott,2009,SJ,M,15,12,1234,0,0,7,3,0,0/0,0,0,0.0,0.0
4910,Jason Hernandez,2009,SJ,D,16,16,1403,0,0,0,0,0,0/0,0,0,0.0,0.0
4911,Kevin Goldthwaite,2009,NY,D,17,17,1449,0,0,3,0,0,0/0,0,0,0.0,0.0
4912,C.J. Brown,2009,CHI,D,18,17,1454,0,0,3,1,0,0/0,0,0,0.0,0.0
4913,Shavar Thomas,2009,CHV,D,17,17,1459,0,0,7,2,0,0/0,0,0,0.0,0.0
4914,Mike Petke,2009,NY,D,19,18,1493,0,0,3,1,0,0/0,0,0,0.0,0.0
4915,Ray Burse,2009,DAL,GK,17,16,1503,0,0,0,0,0,0/0,0,0,0.0,0.0
4916,Cory Gibbs,2009,COL,D,20,19,1575,0,0,2,1,0,0/0,0,0,0.0,0.0
4917,Josh Wicks,2009,DC,GK,19,19,1672,0,0,0,0,0,0/0,0,0,0.0,0.0
4918,Matt Pickens,2009,COL,GK,19,19,1710,0,0,0,0,0,0/0,0,0,0.0,0.0
4919,William Hesmer,2009,CLB,GK,19,19,1710,0,0,0,0,0,0/0,0,0,0.0,0.0
4920,Stefani Miglioranzi,2009,LA,M,23,20,1719,0,0,6,2,0,0/0,0,0,0.0,0.0
4921,Scott Palguta,2009,COL,D,23,19,1749,0,0,1,0,0,0/0,0,0,0.0,0.0
4922,Emmanuel Osei,2009,NE,D,23,23,1852,0,0,5,1,0,0/0,0,0,0.0,0.0
4923,Tony Beltran,2009,RSL,D,23,21,1860,0,0,7,2,0,0/0,0,0,0.0,0.0
4924,Dejan Jakovic,2009,DC,D,23,23,2070,0,0,4,0,0,0/0,0,0,0.0,0.0
4925,Mike Petke,2009,NY,D,19,18,1493,0,0,3,1,0,0/0,0,0,0.0,0.0
4926,Ray Burse,2009,DAL,GK,17,16,1503,0,0,0,0,0,0/0,0,0,0.0,0.0
4927,Cory Gibbs,2009,COL,D,20,19,1575,0,0,2,1,0,0/0,0,0,0.0,0.0
4928,Josh Wicks,2009,DC,GK,19,19,1672,0,0,0,0,0,0/0,0,0,0.0,0.0
4929,Matt Pickens,2009,COL,GK,19,19,1710,0,0,0,0,0,0/0,0,0,0.0,0.0
4930,William Hesmer,2009,CLB,GK,19,19,1710,0,0,0,0,0,0/0,0,0,0.0,0.0
4931,Stefani Miglioranzi,2009,LA,M,23,20,1719,0,0,6,2,0,0/0,0,0,0.0,0.0
4932,Scott Palguta,2009,COL,D,23,19,1749,0,0,1,0,0,0/0,0,0,0.0,0.0
4933,Emmanuel Osei,2009,NE,D,23,23,1852,0,0,5,1,0,0/0,0,0,0.0,0.0
4934,Tony Beltran,2009,RSL,D,23,21,1860,0,0,7,2,0,0/0,0,0,0.0,0.0
4935,Dejan Jakovic,2009,DC,D,23,23,2070,0,0,4,0,0,0/0,0,0,0.0,0.0
4936,Matt Reis,2009,NE,GK,24,24,2160,0,0,0,0,0,0/0,0,0,0.0,0.0
4937,Nick Garcia,2009,TOR,D,25,25,2205,0,0,0,0,0,0/0,0,0,0.0,0.0
4938,Matt Besler,2009,KC,D,28,26,2236,0,0,3,1,0,0/0,0,0,0.0,0.0
4939,Seth Stammler,2009,NY,M-D,26,25,2238,0,0,20,6,0,0/0,0,0,0.0,0.0
4940,Donovan Ricketts,2009,LA,GK,26,26,2274,0,0,0,0,0,0/0,0,0,0.0,0.0
4941,Gregg Berhalter,2009,LA,D,26,26,2298,0,0,6,0,0,0/0,0,0,0.0,0.0
4942,Zach Thornton,2009,CHV,GK,27,27,2385,0,0,0,0,0,0/0,0,0,0.0,0.0
4943,Clyde Simms,2009,DC,M,28,28,2457,0,0,13,5,0,0/0,0,0,0.0,0.0
4944,Joe Cannon,2009,SJ,GK,28,28,2520,0,0,1,1,0,0/0,0,0,0.0,0.0
4945,Kasey Keller,2009,SEA,GK,29,29,2549,0,0,0,0,0,0/0,0,0,0.0,0.0
4946,Darrius Barnes,2009,NE,D,30,30,2700,0,0,0,0,0,0/0,0,0,0.0,0.0
4947,Jon Busch,2009,CHI,GK,30,30,2700,0,0,0,0,0,0/0,0,0,0.0,0.0
4948,Kevin Hartman,2009,KC,GK,30,30,2700,0,0,0,0,0,0/0,0,0,0.0,0.0
4949,Pat Onstad,2009,HOU,GK,30,30,2700,0,0,0,0,0,0/0,0,0,0.0,0.0
4950,Mike Petke,2009,NY,D,19,18,1493,0,0,3,1,0,0/0,0,0,0.0,0.0
4951,Ray Burse,2009,DAL,GK,17,16,1503,0,0,0,0,0,0/0,0,0,0.0,0.0
4952,Cory Gibbs,2009,COL,D,20,19,1575,0,0,2,1,0,0/0,0,0,0.0,0.0
4953,Josh Wicks,2009,DC,GK,19,19,1672,0,0,0,0,0,0/0,0,0,0.0,0.0
4954,Matt Pickens,2009,COL,GK,19,19,1710,0,0,0,0,0,0/0,0,0,0.0,0.0
4955,William Hesmer,2009,CLB,GK,19,19,1710,0,0,0,0,0,0/0,0,0,0.0,0.0
4956,Stefani Miglioranzi,2009,LA,M,23,20,1719,0,0,6,2,0,0/0,0,0,0.0,0.0
4957,Scott Palguta,2009,COL,D,23,19,1749,0,0,1,0,0,0/0,0,0,0.0,0.0
4958,Emmanuel Osei,2009,NE,D,23,23,1852,0,0,5,1,0,0/0,0,0,0.0,0.0
4959,Tony Beltran,2009,RSL,D,23,21,1860,0,0,7,2,0,0/0,0,0,0.0,0.0
4960,Dejan Jakovic,2009,DC,D,23,23,2070,0,0,4,0,0,0/0,0,0,0.0,0.0
4961,Matt Reis,2009,NE,GK,24,24,2160,0,0,0,0,0,0/0,0,0,0.0,0.0
4962,Nick Garcia,2009,TOR,D,25,25,2205,0,0,0,0,0,0/0,0,0,0.0,0.0
4963,Matt Besler,2009,KC,D,28,26,2236,0,0,3,1,0,0/0,0,0,0.0,0.0
4964,Seth Stammler,2009,NY,M-D,26,25,2238,0,0,20,6,0,0/0,0,0,0.0,0.0
4965,Donovan Ricketts,2009,LA,GK,26,26,2274,0,0,0,0,0,0/0,0,0,0.0,0.0
4966,Gregg Berhalter,2009,LA,D,26,26,2298,0,0,6,0,0,0/0,0,0,0.0,0.0
4967,Zach Thornton,2009,CHV,GK,27,27,2385,0,0,0,0,0,0/0,0,0,0.0,0.0
4968,Clyde Simms,2009,DC,M,28,28,2457,0,0,13,5,0,0/0,0,0,0.0,0.0
4969,Joe Cannon,2009,SJ,GK,28,28,2520,0,0,1,1,0,0/0,0,0,0.0,0.0
4970,Kasey Keller,2009,SEA,GK,29,29,2549,0,0,0,0,0,0/0,0,0,0.0,0.0
4971,Darrius Barnes,2009,NE,D,30,30,2700,0,0,0,0,0,0/0,0,0,0.0,0.0
4972,Jon Busch,2009,CHI,GK,30,30,2700,0,0,0,0,0,0/0,0,0,0.0,0.0
4973,Kevin Hartman,2009,KC,GK,30,30,2700,0,0,0,0,0,0/0,0,0,0.0,0.0
4974,Pat Onstad,2009,HOU,GK,30,30,2700,0,0,0,0,0,0/0,0,0,0.0,0.0
4975,Chris Wondolowski,2010,SJ,F-M,28,26,2308,18,1,68,36,9,3/3,10,8,0.7,26.5
4976,Edson Buddle,2010,LA,F,25,25,2109,17,2,96,43,7,0/0,11,6,0.73,17.7
4977,Dwayne De Rosario,2010,TOR,M,27,24,2226,15,3,72,36,5,3/3,5,10,0.61,20.8
4978,Sebastien Le Toux,2010,PHI,F-M,28,28,2520,14,11,90,48,3,3/3,11,3,0.5,15.6
4979,Omar Cummings,2010,COL,F,29,28,2471,14,3,76,37,3,0/0,9,5,0.51,18.4
4980,Conor Casey,2010,COL,F,27,26,2289,13,6,69,28,3,3/3,9,4,0.51,18.8
4981,Juan Pablo Angel,2010,NY,F,30,29,2593,13,4,98,40,3,4/5,4,9,0.45,13.3
4982,Alvaro Saborio,2010,RSL,F,27,23,1988,12,4,51,22,5,2/2,9,3,0.54,23.5
4983,Jeff Cunningham,2010,DAL,F,27,13,1464,11,1,58,25,3,4/4,9,2,0.68,19.0
4984,Fredy Montero,2010,SEA,F,29,27,2353,10,10,91,34,4,0/0,7,3,0.38,11.0
4985,Steve Zakuani,2010,SEA,M,29,27,2285,10,6,41,21,1,0/0,6,4,0.39,24.4
4986,Kei Kamara,2010,KC,F,29,27,2418,10,6,91,33,4,0/0,8,2,0.37,11.0
4987,Guillermo Barros Schelotto,2010,CLB,F,29,29,2545,9,8,62,27,4,5/6,6,3,0.32,14.5
4988,Justin Braun,2010,CHV,F,28,24,2118,9,3,62,25,3,0/0,5,4,0.38,14.5
4989,David Ferreira,2010,DAL,M,30,30,2699,8,13,54,26,2,4/5,4,4,0.27,14.8
4990,Landon Donovan,2010,LA,M-F,24,24,2141,7,16,44,20,2,3/4,5,2,0.29,15.9
4991,Javier Morales,2010,RSL,M,26,25,2163,7,9,42,21,3,0/0,4,3,0.29,16.7
4992,Marco Pappa,2010,CHI,M,25,23,1961,7,5,57,26,3,0/0,4,3,0.32,12.3
4993,Danny Mwanga,2010,PHI,F,24,17,1461,7,4,27,14,1,0/0,4,3,0.43,25.9
4994,Brian Ching,2010,HOU,F,20,16,1425,7,3,25,9,1,0/0,5,2,0.44,28.0
4995,Chad Barrett,2010,TOR,F,23,18,1545,7,2,32,16,2,0/0,4,3,0.41,21.9
4996,Brian McBride,2010,CHI,F,26,18,1604,6,3,36,18,0,1/1,2,4,0.34,16.7
4997,Marko Perovic,2010,NE,M,25,24,2058,6,3,56,21,2,0/0,4,2,0.26,10.7
4998,Davy Arnaud,2010,KC,M,27,27,2342,6,3,58,27,2,1/1,2,4,0.23,10.3
4999,Fabian Espindola,2010,RSL,F,22,19,1514,6,2,39,15,3,0/0,3,3,0.36,15.4
5000,Steven Lenhart,2010,CLB,F,27,17,1640,6,2,55,21,1,0/1,1,5,0.33,10.9
5001,Jesus Padilla,2010,CHV,M,26,14,1378,6,0,39,15,1,0/0,2,4,0.39,15.4
5002,Brad Davis,2010,HOU,M,27,25,2163,5,12,54,23,2,3/4,4,1,0.21,9.3
5003,Robbie Findley,2010,RSL,F,24,15,1355,5,4,33,14,1,1/2,3,2,0.33,15.2
5004,Dominic Oduro,2010,HOU,F-M,27,19,1711,5,4,41,19,0,0/0,3,2,0.26,12.2
5005,Brek Shea,2010,DAL,M,25,21,1797,5,4,39,19,3,0/0,4,1,0.25,12.8
5006,Baggio Husidic,2010,CHI,M,22,18,1498,5,3,22,10,1,0/0,4,1,0.3,22.7
5007,Dane Richards,2010,NY,M,25,23,2008,5,3,35,14,4,0/0,4,1,0.22,14.3
5008,Maicon Santos,2010,TOR,F,22,13,1185,5,2,35,16,0,0/0,3,2,0.38,14.3
5009,Teal Bunbury,2010,KC,F,26,13,1441,5,2,41,23,2,0/0,2,3,0.31,12.2
5010,Birahim Diop,2010,KC,M,14,7,497,5,1,15,10,2,0/0,5,0,0.91,33.3
5011,Milton Rodriguez,2010,DAL,F,13,13,835,5,1,23,10,2,0/0,3,2,0.54,21.7
5012,Emilio Renteria,2010,CLB,F,19,9,857,5,1,30,15,4,0/0,3,2,0.53,16.7
5013,Andy Najar,2010,DC,M-F,26,22,1983,5,1,36,13,0,0/0,3,2,0.23,13.9
5014,Blaise Nkufo,2010,SEA,F,11,11,931,5,0,15,11,2,0/0,1,4,0.48,33.3
5015,Zack Schilawski,2010,NE,F,25,15,1261,5,0,17,9,2,0/0,5,0,0.36,29.4
5016,Danny Allsopp,2010,DC,F,23,18,1456,5,0,37,19,3,0/0,4,1,0.31,13.5
5017,Mehdi Ballouchy,2010,NY,M,27,25,2138,4,6,35,15,1,1/1,1,3,0.17,11.4
5018,Shalrie Joseph,2010,NE,M,22,22,1931,4,5,37,19,1,1/1,2,2,0.19,10.8
5019,Jovan Kirovski,2010,LA,M-F,21,11,932,4,2,20,6,2,0/0,3,1,0.39,20.0
5020,Atiba Harris,2010,DAL,F,29,28,2473,4,2,53,21,0,0/0,2,2,0.15,7.5
5021,Fred,2010,PHI,M,25,24,1913,4,1,17,8,1,0/0,4,0,0.19,23.5
5022,Jeff Larentowicz,2010,COL,M,30,29,2617,4,1,41,13,1,0/0,1,3,0.14,9.8
5023,Ryan Smith,2010,KC,M,26,25,2104,3,7,46,22,0,0/0,3,0,0.13,6.5
5024,Joel Lindpere,2010,NY,M,29,29,2567,3,6,32,13,2,0/0,3,0,0.11,9.4
5025,Brian Mullan,2010,COL,D,29,22,1951,3,5,29,13,0,0/0,2,1,0.14,10.3
5026,Eddie Gaven,2010,CLB,M,28,28,2384,3,5,42,18,0,0/0,1,2,0.11,7.1
5027,Ilija Stolica,2010,NE,F,14,13,1049,3,2,18,9,1,0/0,2,1,0.26,16.7
5028,Sainey Nyassi,2010,NE,M,28,27,2297,3,2,39,11,0,0/0,3,0,0.12,7.7
5029,Cam Weaver,2010,HOU,F,14,9,807,3,1,19,6,1,0/0,1,2,0.33,15.8
5030,Collins John,2010,CHI,F,17,10,901,3,1,29,14,0,0/0,1,2,0.3,10.3
5031,Arturo Alvarez,2010,SJ,M,19,11,1210,3,1,26,12,1,0/0,1,2,0.22,11.5
5032,Blair Gavin,2010,CHV,M,16,16,1369,3,1,15,5,1,0/0,2,1,0.2,20.0
5033,Ned Grabavoy,2010,RSL,M,23,18,1562,3,1,10,6,1,0/0,3,0,0.17,30.0
5034,Andy Iro,2010,CLB,D,25,24,2117,3,1,14,3,2,0/0,2,1,0.13,21.4
5035,Jack McInerney,2010,PHI,F,17,1,350,3,0,9,3,0,0/0,0,3,0.77,33.3
5036,Calen Carr,2010,CHI,F,14,4,538,3,0,12,6,1,0/0,1,2,0.5,25.0
5037,Salou Ibrahim,2010,NY,F,19,8,747,3,0,22,7,2,0/0,1,2,0.36,13.6
5038,Ike Opara,2010,SJ,D,11,10,914,3,0,10,5,1,0/0,2,1,0.3,30.0
5039,Kenny Mansally,2010,NE,D,21,8,928,3,0,23,9,1,0/0,0,3,0.29,13.0
5040,Geoff Cameron,2010,HOU,D,16,15,1321,3,0,27,13,2,0/0,2,1,0.2,11.1
5041,Jamison Olave,2010,RSL,D,27,27,2413,3,0,15,5,0,0/0,3,0,0.11,20.0
5042,Freddie Ljungberg,2010,CHI,M-F,30,27,2432,2,10,38,11,1,0/0,0,2,0.07,5.3
5043,Alejandro Moreno,2010,PHI,F,26,25,1974,2,7,18,8,1,0/0,1,1,0.09,11.1
5044,Kheli Dube,2010,NE,F,20,12,1023,2,5,30,17,1,0/0,1,1,0.18,6.7
5045,O'Brian White,2010,TOR,F,24,9,1065,2,4,19,8,1,0/0,2,0,0.17,10.5
5046,Thierry Henry,2010,NY,F,11,11,859,2,3,30,13,0,0/0,2,0,0.21,6.7
5047,Eric Alexander,2010,DAL,M,17,12,1054,2,3,15,6,1,0/0,1,1,0.17,13.3
5048,Alan Gordon,2010,CHV,F,21,12,1199,2,3,25,12,1,0/0,1,1,0.15,8.0
5049,Sanna Nyassi,2010,SEA,M,24,14,1241,2,3,29,12,1,0/0,1,1,0.15,6.9
5050,Josh Wolff,2010,KC,F,25,16,1549,2,3,21,12,1,0/0,1,1,0.12,9.5
5051,Kyle Beckerman,2010,RSL,M,22,21,1830,2,3,17,4,1,0/0,1,1,0.1,11.8
5052,Pablo Mastroeni,2010,COL,M,29,29,2493,2,3,16,6,1,0/0,0,2,0.07,12.5
5053,Jason Garey,2010,CLB,F,22,9,784,2,2,14,5,2,0/0,2,0,0.23,14.3
5054,Marvin Chavez,2010,DAL,M,16,10,818,2,2,14,4,0,0/0,1,1,0.22,14.3
5055,Tristan Bowen,2010,LA,F,17,10,878,2,2,22,11,0,0/0,1,1,0.21,9.1
5056,Danny Cruz,2010,HOU,M,25,14,1362,2,2,26,9,1,0/0,2,0,0.13,7.7
5057,Juninho,2010,LA,M,25,25,2006,2,2,30,9,2,0/0,2,0,0.09,6.7
5058,Santino Quaranta,2010,DC,M-F,27,26,2331,2,2,58,24,0,0/0,1,1,0.08,3.4
5059,David Beckham,2010,LA,M,7,5,466,2,1,9,6,1,0/0,1,1,0.39,22.2
5060,Alvaro Fernandez,2010,SEA,M,12,4,475,2,1,4,3,1,0/0,1,1,0.38,50.0
5061,Giancarlo Maldonado,2010,CHV,F,10,7,612,2,1,16,4,0,1/1,1,1,0.29,12.5
5062,Adam Cristman,2010,DC,F,17,8,708,2,1,15,4,1,0/0,1,1,0.25,13.3
5063,Adrian Serioux,2010,HOU,D,13,7,708,2,1,8,4,0,0/0,0,2,0.25,25.0
5064,Chris Pontius,2010,DC,M-F,17,13,1189,2,1,25,6,0,0/0,0,2,0.15,8.0
5065,Seth Stammler,2010,NY,M-D,21,17,1441,2,1,26,6,1,0/0,1,1,0.12,7.7
5066,Adam Moffat,2010,CLB,M,24,23,1951,2,1,41,17,0,0/0,1,1,0.09,4.9
5067,Lovel Palmer,2010,HOU,M,26,24,2049,2,1,41,13,0,0/0,2,0,0.09,4.9
5068,Pat Phelan,2010,NE,M-D,28,25,2167,2,1,20,8,1,0/0,2,0,0.08,10.0
5069,Andre Hainault,2010,HOU,D,28,26,2376,2,1,15,4,1,0/0,0,2,0.08,13.3
5070,Andres Mendoza,2010,CLB,F,8,1,204,2,0,4,2,0,0/0,1,1,0.88,50.0
5071,Zak Boggs,2010,NE,M,9,4,390,2,0,6,4,0,0/0,0,2,0.46,33.3
5072,Jaime Moreno,2010,DC,F,21,8,905,2,0,14,8,0,1/1,1,1,0.2,14.3
5073,Peter Lowry,2010,CHI,M,15,12,1004,2,0,11,4,1,0/0,2,0,0.18,18.2
5074,Wells Thompson,2010,COL,D,27,13,1287,2,0,16,8,0,0/0,2,0,0.14,12.5
5075,Jack Jewsbury,2010,KC,D-M,29,17,1675,2,0,32,15,0,1/1,2,0,0.11,6.3
5076,Omar Gonzalez,2010,LA,D,28,28,2520,2,0,13,4,0,0/0,0,2,0.07,15.4
5077,Michael Orozco Fiscal,2010,PHI,D,29,29,2562,2,0,14,5,1,0/0,2,0,0.07,14.3
5078,Nat Borchers,2010,RSL,D,30,30,2673,2,0,10,4,0,0/0,1,1,0.07,20.0
5079,Patrick Nyarko,2010,CHI,M,27,22,2068,1,10,27,12,0,0/0,0,1,0.04,3.7
5080,Bobby Convey,2010,SJ,M,28,28,2472,1,10,18,9,0,0/0,0,1,0.04,5.6
5081,Jamie Smith,2010,COL,M,22,16,1357,1,8,23,10,1,0/0,1,0,0.07,4.3
5082,Ryan Johnson,2010,SJ,F,27,19,1706,1,8,37,18,1,0/0,1,0,0.05,2.7
5083,Michael Stephens,2010,LA,M,25,21,1884,1,8,19,9,1,0/0,0,1,0.05,5.3
5084,Andy Williams,2010,RSL,M,30,20,1862,1,7,32,10,1,0/0,1,0,0.05,3.1
5085,Nick LaBrocca,2010,TOR,M,28,24,2177,1,6,26,9,0,0/0,1,0,0.04,3.8
5086,Justin Mapp,2010,PHI,M,25,16,1407,1,5,17,7,1,0/0,0,1,0.06,5.9
5087,Robbie Russell,2010,RSL,D,22,21,1915,1,5,9,6,0,0/0,1,0,0.05,11.1
5088,Mike Chabala,2010,HOU,D,25,22,2030,1,4,3,2,0,0/0,0,1,0.04,33.3
5089,Dan Gargan,2010,TOR,D-M,27,25,2237,1,4,10,3,0,0/0,1,0,0.04,10.0
5090,Chris Tierney,2010,NE,D-M,27,26,2238,1,4,22,13,0,0/0,1,0,0.04,4.5
5091,Luis Angel Landin,2010,HOU,F,9,5,436,1,3,10,2,1,0/0,1,0,0.21,10.0
5092,Geovanni,2010,SJ,F,12,8,777,1,3,25,13,1,0/0,0,1,0.12,4.0
5093,Sacha Kljestan,2010,CHV,M,10,10,900,1,3,20,8,0,0/0,1,0,0.1,5.0
5094,Brad Evans,2010,SEA,M,12,11,965,1,3,18,8,1,0/0,1,0,0.09,5.6
5095,Macoumba Kandji,2010,COL,F,20,12,1129,1,3,22,6,1,0/0,0,1,0.08,4.5
5096,Rodolfo Espinoza,2010,CHV,M,15,14,1156,1,3,17,3,0,0/0,1,0,0.08,5.9
5097,Tony Tchani,2010,NY,M,27,17,1610,1,3,25,8,0,0/0,1,0,0.06,4.0
5098,Osvaldo Alonso,2010,SEA,M,23,21,1874,1,3,30,9,1,0/0,1,0,0.05,3.3
5099,Logan Pause,2010,CHI,M,26,26,2258,1,3,6,1,0,0/0,0,1,0.04,16.7
5100,James Riley,2010,SEA,D-F,27,27,2418,1,3,8,2,0,0/0,0,1,0.04,12.5
5101,Jacob Peterson,2010,TOR,F,24,15,1267,1,2,18,4,0,0/0,1,0,0.07,5.6
5102,Nathan Sturgis,2010,SEA,M,20,16,1483,1,2,12,4,0,1/1,0,1,0.06,8.3
5103,Dax McCarty,2010,DAL,M,21,18,1604,1,2,18,6,0,0/0,0,1,0.06,5.6
5104,Eddie Robinson,2010,HOU,D,23,19,1636,1,2,7,1,0,0/0,1,0,0.06,14.3
5105,Ramiro Corrales,2010,SJ,M,20,18,1677,1,2,12,4,0,0/0,1,0,0.05,8.3
5106,Chad Marshall,2010,CLB,D,24,24,2160,1,2,11,3,0,0/0,0,1,0.04,9.1
5107,Brandon McDonald,2010,SJ,D,29,28,2429,1,2,19,4,0,0/0,0,1,0.04,5.3
5108,Fuad Ibrahim,2010,TOR,F,8,3,262,1,1,6,2,1,0/0,1,0,0.34,16.7
5109,Nelson Gonzalez,2010,RSL,M,12,3,330,1,1,5,3,0,0/0,1,0,0.27,20.0
5110,Eric Avila,2010,DAL,M,18,1,452,1,1,14,7,0,0/0,1,0,0.2,7.1
5111,Pat Noonan,2010,SEA,F,12,8,682,1,1,11,3,0,0/1,0,1,0.13,9.1
5112,Khari Stephenson,2010,SJ,M,11,11,776,1,1,18,6,0,0/0,0,1,0.12,5.6
5113,Rafael Marquez,2010,NY,M,10,10,783,1,1,17,5,0,0/0,0,1,0.11,5.9
5114,Mike Magee,2010,LA,F,16,9,789,1,1,19,8,1,0/0,0,1,0.11,5.3
5115,Alex Cazumba,2010,LA,M,18,8,830,1,1,10,3,0,0/0,1,0,0.11,10.0
5116,Sinisa Ubiparipovic,2010,NY,F-M,18,11,932,1,1,11,4,0,0/0,1,0,0.1,9.1
5117,Steven Kinney,2010,CHI,D,13,10,963,1,1,8,3,1,0/0,0,1,0.09,12.5
5118,Danleigh Borman,2010,NY,D,18,13,1179,1,1,4,2,0,0/0,0,1,0.08,25.0
5119,Joey Gjertsen,2010,SJ,M,18,16,1220,1,1,12,5,0,0/0,1,0,0.07,8.3
5120,Bobby Burling,2010,SJ,D,18,16,1410,1,1,9,3,0,0/0,1,0,0.06,11.1
5121,Tyrone Marshall,2010,SEA,D,20,14,1419,1,1,4,3,0,0/0,0,1,0.06,25.0
5122,Will Johnson,2010,RSL,M,28,24,2184,1,1,40,12,0,0/0,1,0,0.04,2.5
5123,Leo Gonzalez,2010,SEA,D,27,27,2347,1,1,5,2,1,0/0,1,0,0.04,20.0
5124,Todd Dunivant,2010,LA,D,27,27,2409,1,1,7,4,0,0/0,0,1,0.04,14.3
5125,Jordan Harvey,2010,PHI,D,30,29,2620,1,1,9,3,0,0/0,0,1,0.03,11.1
5126,Samuel Appiah,2010,HOU,M,2,0,37,1,0,2,1,0,0/0,1,0,2.43,50.0
5127,Leandre Griffit,2010,CLB,M,3,0,43,1,0,2,2,0,0/0,1,0,2.09,50.0
5128,Mike Fucito,2010,SEA,F,4,0,47,1,0,3,1,1,0/0,1,0,1.91,33.3
5129,Julio Martinez,2010,CHI,M,3,2,108,1,0,2,1,0,0/0,0,1,0.83,50.0
5130,Quincy Amarikwa,2010,COL,F,14,2,245,1,0,9,3,0,0/0,1,0,0.37,11.1
5131,Chukwudi Chijindu,2010,CHV,M,12,2,308,1,0,9,3,1,0/0,1,0,0.29,11.1
5132,Maykel Galindo,2010,CHV,F,6,4,343,1,0,6,4,0,0/0,0,1,0.26,16.7
5133,Carl Robinson,2010,NY,M,10,3,365,1,0,1,1,0,0/0,0,1,0.25,100.0
5134,John Thorrington,2010,CHI,M,5,5,397,1,0,4,2,0,1/1,0,1,0.23,25.0
5135,Osael Romero,2010,CHV,M,9,5,421,1,0,9,3,0,0/0,1,0,0.21,11.1
5136,Jorge Villafana,2010,CHV,M,8,6,452,1,0,7,3,1,0/0,1,0,0.2,14.3
5137,Carlos Borja,2010,CHV,D,8,4,456,1,0,2,2,0,0/0,1,0,0.2,50.0
5138,Roger Levesque,2010,SEA,M,16,5,510,1,0,8,5,1,0/0,0,1,0.18,12.5
5139,Graham Zusi,2010,KC,F-M,19,4,540,1,0,15,5,0,0/0,1,0,0.17,6.7
5140,Joseph Ngwenya,2010,HOU,F,12,6,589,1,0,8,2,0,0/0,1,0,0.15,12.5
5141,Steven Beitashour,2010,SJ,D,8,7,640,1,0,4,3,0,0/0,0,1,0.14,25.0
5142,Dema Kovalenko,2010,LA,M,9,8,712,1,0,8,6,1,0/0,1,0,0.13,12.5
5143,Shea Salinas,2010,PHI,M,17,7,795,1,0,11,7,0,0/0,0,1,0.11,9.1
5144,Cornell Glen,2010,SJ,F,21,10,947,1,0,32,10,0,0/0,0,1,0.1,3.1
5145,Mike Banner,2010,CHI,M,18,9,1019,1,0,14,6,1,0/0,0,1,0.09,7.1
5146,Eric Brunner,2010,CLB,D,14,13,1145,1,0,6,2,0,0/0,1,0,0.08,16.7
5147,Carey Talley,2010,NY,D,16,14,1181,1,0,6,2,1,1/1,1,0,0.08,16.7
5148,A.J. DeLaGarza,2010,LA,D,17,14,1307,1,0,1,1,0,0/0,1,0,0.07,100.0
5149,Paulo Nagamura,2010,CHV,M,15,15,1327,1,0,21,8,0,0/0,1,0,0.07,4.8
