,Name,Date,Club,Minutes
329,Graham Zusi,3/17/2012,KC,57
330,Graham Zusi,3/10/2012,KC,90
331,Graham Zusi,10/22/2011,KC,90
332,Graham Zusi,10/15/2011,KC,90
333,Graham Zusi,10/1/2011,KC,3
334,Graham Zusi,9/28/2011,KC,90
335,Graham Zusi,9/23/2011,KC,90
336,Graham Zusi,9/17/2011,KC,90
337,Graham Zusi,9/10/2011,KC,90
338,Graham Zusi,9/5/2011,KC,90
339,Graham Zusi,8/27/2011,KC,90
340,Graham Zusi,8/21/2011,KC,90
341,Graham Zusi,8/17/2011,KC,90
342,Graham Zusi,8/6/2011,KC,90
343,Graham Zusi,8/3/2011,KC,90
344,Graham Zusi,7/30/2011,KC,90
345,Graham Zusi,7/23/2011,KC,32
346,Graham Zusi,7/16/2011,KC,90
347,Graham Zusi,7/9/2011,KC,80
348,Graham Zusi,7/6/2011,KC,90
349,Graham Zusi,7/2/2011,KC,90
350,Graham Zusi,6/25/2011,KC,90
352,Graham Zusi,6/17/2011,KC,63
353,Graham Zusi,6/12/2011,KC,89
354,Graham Zusi,6/9/2011,KC,90
355,Graham Zusi,6/4/2011,KC,85
356,Graham Zusi,5/28/2011,KC,90
357,Graham Zusi,5/21/2011,KC,14
358,Graham Zusi,5/14/2011,KC,90
359,Graham Zusi,4/30/2011,KC,90
360,Graham Zusi,4/23/2011,KC,32
361,Graham Zusi,4/16/2011,KC,19
363,Graham Zusi,3/26/2011,KC,21
364,Graham Zusi,3/19/2011,KC,1
365,Graham Zusi,10/23/2010,NULL,90
366,Graham Zusi,10/16/2010,NULL,20
367,Graham Zusi,10/12/2010,NULL,3
368,Graham Zusi,10/9/2010,NULL,17
372,Graham Zusi,9/19/2010,NULL,6
374,Graham Zusi,8/28/2010,NULL,3
375,Graham Zusi,8/21/2010,NULL,12
376,Graham Zusi,8/14/2010,NULL,10
377,Graham Zusi,8/7/2010,NULL,27
379,Graham Zusi,7/17/2010,NULL,4
380,Graham Zusi,7/14/2010,NULL,26
381,Graham Zusi,7/10/2010,NULL,24
382,Graham Zusi,7/3/2010,NULL,19
383,Graham Zusi,6/26/2010,NULL,24
384,Graham Zusi,6/10/2010,NULL,90
385,Graham Zusi,6/5/2010,NULL,13
386,Graham Zusi,5/29/2010,NULL,13
387,Graham Zusi,5/23/2010,NULL,67
388,Graham Zusi,5/15/2010,NULL,72
